Species,Hodgsoncheck,
Acanthaceae/Antirrhinum/Antirrhinum_molle_lopesianum,Y,
Alariaceae/Alaria/Alaria_nana,Y,
Alariaceae/Pterygophora/Pterygophora_californica,Y,
Amaranthaceae/Salsola/Salsola_kali,Y,
Apocynaceae/Alyxia/Alyxia_stellata,Y,
Apocynaceae/Himatanthus/Himatanthus_drasticus,Y,
Araucariaceae/Araucaria/Araucaria_araucana,Y,
Arecaceae/Calamus/Calamus_nambariensis,Y,
Arecaceae/Dypsis/Dypsis_decaryi,N,
Arecaceae/Geonoma/Geonoma_pohliana_weddelliana,N,
Asparagaceae/Agave/Agave_potatorum,Y,
Asparagaceae/Anthericum/Anthericum_liliago,Y,
Asparagaceae/Anthericum/Anthericum_ramosum,Y,
Aspleniaceae/Asplenium/Asplenium_adulterinum,N,
Aspleniaceae/Asplenium/Asplenium_cuneifolium,N,
Aspleniaceae/Asplenium/Asplenium_scolopendrium,N,
Asteraceae/Olearia/Olearia_flocktoniae,N,
Asteraceae/Sonchus/Sonchus_pustulatus,N,
Betulaceae/Alnus/Alnus_incana_rugosa,Y,
Betulaceae/Betula/Betula_pubescens_pumila,Y,
Brassicaceae/Boechera/Boechera_fecunda,N,
Brassicaceae/Draba/Draba_asterophora,N,
Brassicaceae/Mircothlaspi/Mircothlaspi_perfoliatum,N,
Brassicaceae/Physaria/Physaria_ovalifolia,N,
Brassicaceae/Rorippa/Rorippa_palustris,N,
Bromeliaceae/Catopsis/Catopsis_compacta,Y,
Bromeliaceae/Tillandsia/Tillandsia_flexuosa,N,
Bromeliaceae/Vriesea/Vriesea_sanguinolenta,N,
Cactaceae/Ariocarpus/Ariocarpus_fissuratus,N,
Cactaceae/Astrophytum/Astrophytum_asterias,Y,
Cactaceae/Astrophytum/Astrophytum_capricorne,Y,
Cactaceae/Astrophytum/Astrophytum_myriostigma,Y,
Cactaceae/Cephalocereus/Cephalocereus_senilis,N,
Cactaceae/Coryphanta/Escobaria_robbinsorum,N,
Cactaceae/Lophophora/Lophophora_diffusa,N,
Cactaceae/Mammillaria/Mammillaria_mystax,Y,
Cactaceae/Mammillaria/Mammillaria_napia,Y,
Cactaceae/Mammillaria/Mammillaria_solisioides,Y,
Cactaceae/Mammillaria/Mammillaria_supertexta,Y,
Cactaceae/Mitrocereus/Pseudomitrocereus_fulviceps,N,
Cactaceae/Neobuxbaumia/Neobuxbaumia_polylopha,Y,
Cactaceae/Opuntia/Opuntia_microdasys,Y,
Cactaceae/Pediocactus/Pediocactus_bradyi,N,
Cactaceae/Stenocactus/Stenocactus_crispatus,N,
Campanulaceae/Adenophora/Adenophora_lobophylla,Y,
Campanulaceae/Adenophora/Adenophora_potaninii,Y,
Caprifoliaceae/Dipsacus/Dipsacus_fullonum,Y,
Caprifoliaceae/Nardostachys/Nardostachys_jatamansi,Y,
Caryophyllaceae/Silene/Silene_glaucifolia_pseudoviscosa,Y,
Cistaceae/Lechea/Lechea_cernua,Y,
Cistaceae/Lechea/Lechea_deckertii,Y,
Commelinaceae/Tradescantia/Tradescantia_cerinthoides,Y,
Compositae/Balduina/Balduina_angustifolia,N,
Compositae/Centaurea/Centaurea_podospermifolia,Y,
Compositae/Coespeletia/Coespeletia_spicata,Y,
Compositae/Coespeletia/Coespeletia_timotensis,Y,
Compositae/Conyza/Erigeron_canadensis,Y,
Compositae/Leontopodium/Leontopodium_nivale_alpinum,N,
Compositae/Pityopsis/Pityopsis_aspera_aspera,N,
Compositae/Solidago/Solidago_altissima,Y,
Compositae/Taraxacum/Taraxacum_campylodes,Y,
Compositae/Tetraneuris/Tetraneuris_herbacea,N,
Cucurbitaceae/Cucurbita/Cucurbita_pepo,Y,
Cupressaceae/Callitris/Callitris_columellaris,Y,
Dioscoreaceae/Dioscorea/Dioscorea_chouardii,Y,
Dipterocarpaceae/Anisoptera/Anisoptera_laevis,Y,
Dipterocarpaceae/Shorea/Shorea_acuminata,Y,
Dipterocarpaceae/Shorea/Shorea_bracteolata,Y,
Dipterocarpaceae/Shorea/Shorea_maxwelliana,Y,
Dipterocarpaceae/Shorea/Shorea_ovalis,Y,
Dipterocarpaceae/Vatica/Vatica_mangachapoi,Y,
Dryopteridaceae/Polystichum/Polystichum_aculeatum,N,
Dryopteridaceae/Polystichum/Polystichum_setiferum,N,
Ericaceae/Leucopogon/Leucopogon_setiger,Y,
Euphorbiaceae/Actinostemon/Actinostemon_concolor,Y,
Fabaceae/Lespedeza/Lespedeza_virginica,Y,
Fabaceae/Prosopis/Prosopis_flexuosa,Y,
Fucaceae/Ascophyllum/Ascophyllum_nodosum,N,
Fucaceae/Fucus/Fucus_vesiculosus,N,
Gelidiaceae/Gelidium/Gelidium_sesquipedale,N,
Gigartinaceae/Iridaea/Iridaea_splendens,N,
Gracilariaceae/Gracilaria/Gracilaria_gracilis,N,
Hylocomiaceae/Hylocomium/Hylocomium_splendens,N,
Juglandaceae/Carya/Carya_sinensis,Y,
Lamiaceae/Thymus/Thymus_vulgaris,Y,
Laminariaceae/Laminaria/Laminaria_digitata,,
Laminariaceae/Macrocystis/Macrocystis_pyrifera,,
Lauraceae/Ocotea/Ocotea_usambarensis,,
Leguminosae/Acacia/Acacia_victoriae,,
Leguminosae/Adenocarpus/Adenocarpus_aureus_gibbsianus,,
Leguminosae/Anthyllis/Anthyllis_vulneraria_alpicola,,
Leguminosae/Chamaecrista/Chamaecrista_fasciculata,,
Leguminosae/Glottidium/Glottidium_vesicarium,,
Leguminosae/Lespedeza/Lespedeza_juncea_sericea,,
Leguminosae/Stryphnodendron/Stryphnodendron_microstachyum,,
Lessoniaceae/Ecklonia/Ecklonia_radiata,,
Liliaceae/Fritillaria/Fritillaria_biflora,,
Magnoliaceae/Magnolia/Magnolia_fordiana,,
Malvaceae/Scaphium/Scaphium_macropodum,,
Melanthiaceae/Trillium/Trillium_ovatum,,
Melanthiaceae/Trillium/Trillium_persistens,,
Ophioglossaceae/Botrychium/Botrychium_mormo,,
Orchidaceae/Cypripedium/Cypripedium_parviflorum,Y,"with other cyripedium, however, wrong structure"
Orchidaceae/Jacquiniella/Jacquiniella_leucomelana,Y,put with epidendroids; put with Neotinea ustulata
Orchidaceae/Jacquiniella/Jacquiniella_teretifolia,Y,put with epidendroids; put with Neotinea ustulata
Orchidaceae/Lycaste/Lycaste_aromatica,Y,put with epidendroids; put with Neotinea ustulata
Papaveraceae/Dicentra/Dicentra_canadensis,Y,
Pinaceae/Pinus/Pinus_albicaulis,Y,pinus needs re-organising
Pinaceae/Pinus/Pinus_fenzeliana,Y,pinus needs re-organising
Pinaceae/Pinus/Pinus_maximartinezii,Y,pinus needs re-organising
Pinaceae/Pinus/Pinus_radiata,Y,pinus needs re-organising
Poaceae/Elymus/Elymus_repens,,
Poaceae/Schizachyrium/Schizachyrium_brevifolium,,
Poaceae/Schizachyrium/Schizachyrium_sanguineum,,
Poaceae/Stipa/Stipa_aristiglumis,,
Poaceae/Stipa/Stipa_calamagrostis,,
Polygonaceae/Polygonella/Polygonella_basiramia,,
Polygonaceae/Polygonella/Polygonella_robusta,,
Primulaceae/Vitaliana/Vitaliana_primuliflora,,
Proteaceae/Persoonia/Persoonia_bargoensis,,
Proteaceae/Persoonia/Persoonia_glaucescens,,
Proteaceae/Persoonia/Persoonia_lanceolata,,
Proteaceae/Persoonia/Persoonia_mollis,,
Ranunculaceae/Actaea/Actaea_cordifolia,,
Ranunculaceae/Trollius/Trollius_europaeus,,
Rhamnaceae/Paliurus/Paliurus_ramosissimus,,
Rhamnaceae/Ziziphus/Ziziphus_jujuba,,
Rosaceae/Rubus/Rubus_praecox,,
Rubiaceae/Rytigynia/Rytigynia_kigeziensis,,
Rubiaceae/Stenaria/Stenaria_nigricans,,
Ruppiaceae/Ruppia/Ruppia_maritima,,
Sapindaceae/Acer/Acer_palmatum,,
Sapindaceae/Acer/Acer_pictum,,
Sargassaceae/Sargassum/Sargassum_siliquosum,,
Verbenaceae/Lantana/Lantana_camara,,
Violaceae/Viola/Viola_persicifolia,,
Violaceae/Viola/Viola_sagittata_ovata,,